Census Tract,Total Population,California County,ZIP,Approximate Location,CES 4.0 Score,Pollution Burden Score,Asthma,Low Birth Weight,Cardiovascular Disease,Education,Unemployment,Housing Burden,Pop. Char. Score,PovertyRate,lapophalfshare,lalowihalfshare,lapop1share,lalowi1share,Children < 10 years (%),Pop 10-64 years (%),Elderly > 64 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other/Multiple (%),Urban,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,LATractsVehicle_20,CVD Risk Level
6079011901,3270,San Luis Obispo,93420,Unincorporated San Luis Obispo County area,9.81,4.23,44.99,3.07,8.61,4.7,2.5,12,2.32,6.8,93.2,21.3,54.1,12.46,7.77,61.71,30.5,17,79.1,0,0,3.24,0.61,1,0,0,0,0,0,0,0,Mild
6037800332,6543,Los Angeles,91301,Agoura Hills,9.42,4.06,17.25,5.75,10.3,1.4,2.3,10,2.32,5.4,88,9.58,10.94,0.46,7.03,74.14,18.8,8.04,77,0.58,0,8.79,5.58,1,0,0,0,0,0,0,0,Moderate
6083000502,6315,Santa Barbara,93105,Santa Barbara,8.35,3.6,27.51,4.91,6.64,4.6,2.1,15,2.32,8.9,33.4,3.78,0.43,0.04,9.83,65.07,25.1,12.8,81.2,2.31,0.51,1.93,1.17,1,0,0,0,0,0,0,0,Mild
6037920339,7420,Los Angeles,91355,Unincorporated Los Angeles County area,15,6.49,15.49,5.39,7.48,2.7,3.3,12,2.32,3.4,87,5.01,71.51,4.11,12.9,80.81,6.29,11.9,51.5,1.82,0,26.3,8.46,1,0,0,0,0,0,0,0,Mild
6037275400,4069,Los Angeles,90066,Los Angeles,16.4,7.1,23.7,4.55,8.39,5.4,4.9,8.3,2.32,2.6,0,0,,,6.98,80.29,12.7,12.9,64.8,2.46,0,15,4.62,1,0,0,0,0,0,0,0,Mild
6057000300,2666,Nevada ,95949,Unincorporated Nevada County area,8.75,3.77,30.44,2.91,8.53,4.9,4.8,14,2.32,8.3,99.8,24.4,95.95,23.44,7.76,66.35,25.8,9.98,84.3,0.41,1.24,0.83,3.23,0,0,0,0,0,0,0,0,Mild
6065048100,7365,Riverside ,92882,Unincorporated Riverside County area,10.7,4.63,18.11,3.17,11.2,5.8,4.3,13,2.33,3.9,71.7,7.15,26.82,2.67,11,80.27,8.72,27.8,46.4,7.62,0.08,16.8,1.15,1,0,0,0,0,0,0,0,Moderate
6073017404,7099,San Diego,92024,Encinitas,12,5.16,14.86,4.2,7.27,5.6,4.8,18,2.33,6.6,83.4,14.4,10.51,1.96,11.3,64.84,23.8,13.7,80,1.27,0,3.21,1.75,1,0,0,0,0,1,0,1,Mild
6065940600,3183,Riverside ,92270,Unincorporated Riverside County area,8.17,3.51,25.77,1.23,8.25,5.1,5.8,17,2.33,4.8,87.6,16.7,73.63,13.79,3.49,45.93,50.5,12.2,76.9,1.6,0.91,5.22,3.11,1,0,0,0,0,0,0,0,Mild
6073016606,3575,San Diego,92071,San Diego,10.7,4.6,29.52,4.42,8.57,5.2,4.5,11,2.33,5.2,81.8,8.61,73.72,7.67,14.2,73.06,12.7,21.2,69,0.64,0.34,3.33,5.34,1,0,0,0,0,0,0,0,Mild
6059032020,5890,Orange ,92692,Mission Viejo,7.13,3.06,21.09,3.23,11.9,4.3,1.6,15,2.33,2.1,80.8,8.23,39.58,4.7,11.6,73.84,14.5,17,65.4,0.95,0,11.6,4.89,1,0,0,0,0,0,0,0,Moderate
6087121300,4271,Santa Cruz,95065,Live Oak,7.12,3.05,17.89,4.84,5.81,11,1,17,2.33,3.5,82.2,9.24,35.15,2.73,11.7,68.23,20,35.3,57,0,0,2.9,4.73,1,0,0,0,0,1,0,1,Mild
6037650501,3044,Los Angeles,90503,Torrance,15.7,6.78,26.42,1.76,10.4,9.3,3.7,8.2,2.33,2.2,0.27,0.07,,,12,66,21.9,15,51.3,0,0.39,27.9,5.19,1,0,0,0,0,0,0,0,Moderate
6073017032,15361,San Diego,92127,Unincorporated San Diego County area,10.4,4.46,18.72,4.22,8.49,2.9,5.5,12,2.33,2.8,77,7.95,37.53,3.52,14.4,76.41,9.1,8.76,42.2,1.35,0,38.7,8.93,1,0,0,0,0,0,0,0,Mild
6073019301,6726,San Diego,92056,Oceanside,9.41,4.03,24.56,3.25,9.68,8,2.8,12,2.33,6.7,100,17.1,44.44,9.95,11.5,75.78,12.7,27.4,55.7,2.71,0,8.12,5.98,1,0,0,0,0,0,0,0,Moderate
6111007510,6421,Ventura ,91362,Thousand Oaks,8.39,3.59,19.22,5.24,6.94,3,4.3,12,2.34,2.2,97.2,8.42,61.73,5.26,10,73.51,16.4,11.9,66.3,0,0,18,3.72,1,0,0,0,0,0,0,0,Mild
6059075605,6113,Orange ,92705,North Tustin,8.56,3.66,33.74,4.53,10.8,1.8,1.9,8.2,2.34,5.2,41.1,2.98,28.92,1.92,12.1,73.68,14.2,10.8,63.8,2.01,0.47,16.4,6.3,1,0,0,0,0,0,0,0,Moderate
6059032038,6361,Orange ,92692,Mission Viejo,7.54,3.23,19.81,4.12,11.2,3.8,5.3,5.2,2.34,2.9,69,2,6.68,0.08,10.1,77.72,12.1,12.5,65.5,0,0,15.5,6.38,1,0,0,0,0,0,0,0,Moderate
6073008366,6753,San Diego,92129,San Diego,8.24,3.52,23.64,4.47,9.68,4.6,3.2,6,2.34,3.3,95.6,5.58,42.83,2.5,10.4,83.21,6.37,6.71,49.4,0,0,36.3,7.57,1,0,0,0,0,0,0,0,Moderate
6061020602,8759,Placer ,95650,Unincorporated Placer County area,10.7,4.58,20.43,3.99,9.82,3.9,3.6,17,2.34,8.7,96.7,15.5,89.22,12.92,13.2,67.93,18.8,6.11,82.1,0.86,0.78,4.88,5.23,1,0,0,0,0,0,0,0,Moderate
6059099604,3874,Orange ,92647,Huntington Beach,12.2,5.21,36.79,3.18,10.2,7.8,3.6,8.9,2.34,6.4,46.1,6.29,,,13.4,69.82,16.7,19,59.8,1.32,0.15,14.6,4.9,1,0,0,0,0,0,0,0,Moderate
6037910813,4080,Los Angeles,91390,Agua Dulce,10.2,4.37,20.94,2.45,10.7,9.9,4.4,13,2.34,8.8,92.4,14.3,80.54,12.53,9.61,72.16,18.2,20.9,74.3,0.12,0,2.72,1.91,0,0,0,0,0,0,0,0,Moderate
6073011100,4807,San Diego,92118,Coronado,12.3,5.28,23.87,3.45,5.97,4,5.8,18,2.34,6.4,52.8,5.69,,,9.82,69.92,20.2,10.9,80.5,0.25,0.67,3.33,4.26,1,0,0,0,0,0,0,0,Mild
6059032044,5700,Orange ,92679,Coto de Caza,7.51,3.21,12.04,5.49,7.32,2.9,3.2,17,2.34,4.7,97.7,9.24,87.29,8.09,7,73.35,19.6,7.7,78.4,2.23,0.3,8.05,3.26,1,0,0,0,0,0,0,0,Mild
6073013419,8876,San Diego,91914,Chula Vista,8.09,3.45,13.23,4.13,6.77,7.8,4.8,14,2.35,6,65.5,9.45,20.87,3.14,15.4,75.02,9.51,54.4,17.8,6.28,0,15.4,6.04,1,0,0,0,0,0,0,0,Mild
6075031000,3804,San Francisco,94112,San Francisco,8.17,3.48,34.72,3.74,7.45,5.3,1.7,12,2.35,5.2,5.82,0.24,,,9.54,68.66,21.7,9.15,49.7,1.47,0,36.2,3.39,1,0,0,0,0,0,0,0,Mild
6085508101,6768,Santa Clara,95014,Cupertino,12.1,5.16,9.86,5.1,6.35,1.1,5.7,7.3,2.35,1.8,10.7,0.77,,,18,70.7,11.3,2.22,24.9,0.01,0,70.8,1.99,1,0,0,0,0,0,0,0,Mild
6067008505,2248,Sacramento ,95630,Folsom,3.42,1.46,27.25,4.42,12.5,3.4,1.7,6.4,2.35,3.7,96.6,11.1,,,12.7,73.67,13.5,5.43,68.5,0.27,0,19.6,6.05,1,0,0,0,0,0,0,0,High
6097153403,3910,Sonoma ,95472,Unincorporated Sonoma County area,10.5,4.48,32.33,3.3,8.7,7.3,3.3,17,2.35,6.8,47.6,7.89,31.78,4.97,9.85,68.62,21.5,12.7,78.6,2.99,0,3.61,2.05,1,0,0,0,0,0,0,0,Mild
6073016612,5936,San Diego,92071,Santee,6.68,2.84,33.75,2.78,9.46,5.1,5.4,8,2.35,4.2,100,11.7,63.99,8.1,14.3,70.57,15.1,15.7,71.9,1.43,1.36,4.9,4.7,1,0,0,0,0,0,0,0,Moderate
6053012100,2113,Monterey ,93950,Pacific Grove,4.97,2.11,31.63,4.35,8.32,2.9,5.9,7.8,2.35,7.6,19.4,2.65,,,9.42,59.25,31.3,13.3,73.8,0.8,0,6.58,5.44,1,0,0,0,0,0,0,0,Mild
6085509401,3806,Santa Clara,94306,Palo Alto,10.4,4.45,12.05,3.83,6.26,7.9,4.8,12,2.36,6.9,,,,,13.8,79.4,6.75,15.1,33.9,3.44,0,43.3,4.18,1,0,0,0,0,0,0,0,Mild
6059042315,5824,Orange ,92677,San Juan Capistrano,11.2,4.77,14.52,2.25,7.1,6.8,8,20,2.36,8.1,54,7.36,1.71,0.32,5.2,76.91,17.8,14.3,67.7,3.19,0,10.9,3.71,1,0,0,0,0,0,0,0,Mild
6075030900,7103,San Francisco,94127,San Francisco,10.2,4.35,29.4,4.29,7.71,4.4,3.8,6.2,2.36,8,37,0.4,,,7.62,69.98,22.4,6.79,42.2,1.8,0.24,44.5,4.38,1,0,0,0,0,0,0,0,Mild
6085508204,4122,Santa Clara,94087,Sunnyvale,8.35,3.54,13.01,5.96,7.71,2.1,2.4,7.5,2.36,5,41.8,3.89,,,15.1,73.05,11.8,4.75,38.4,0.44,0,52.2,4.12,1,0,0,0,0,0,0,0,Mild
6037143800,5770,Los Angeles,91604,Los Angeles,15.6,6.65,22.29,4.46,10.6,2.1,5,5.6,2.36,1.5,55,4.03,7.47,0.49,12.3,71.8,15.8,11.1,75.3,4.64,0,6.62,2.31,1,0,0,0,0,0,0,0,Moderate
